id,a2z,name
1,#,11 Beta Hydroxylase Deficiency
2,#,11 beta hydroxysteroid dehydrogenase type 2 deficiency
3,#,17 alpha hydroxylase deficiency
4,#,17-beta-hydroxysteroid dehydrogenase deficiency
5,#,"1p36 Deletion Syndrome, rare (NIH)"
6,#,21 hydroxylase deficiency
7,#,"22q11.2 deletion syndrome, rare (NIH)"
8,#,3 beta hydroxysteroid dehydrogenase deficiency
9,#,3 methylglutaconyl coa hydratase deficiency
10,#,3-hydroxyacyl-coa dehydrogenase deficiency
11,#,3-methyl crotonyl-coa carboxylase deficiency
12,#,3-methyl glutaconic aciduria
13,#,3C Syndrome
14,#,3M Syndrome
15,#,"46,xx gonadal dysgenesis epibulbar dermoid"
16,#,47 XXY Syndrome
17,#,47 XYY Syndrome
18,#,"48,XXXX Syndrome"
19,#,"48,XXYY Syndrome"
20,#,49 XXXXX Syndrome
21,a,Aagenaes syndrome
22,a,Aarskog Ose Pande Syndrome
23,a,Aarskog Syndrome
24,a,Aase Smith syndrome (or Aase syndrome)
25,a,Aase Syndrome
26,a,Aaviophobia
27,a,Abasia
28,a,Abdominal Aortic Aneurysm
29,a,Abdominal Cystic Lymphangioma
30,a,Abdominal Defects
31,a,Abdominal Migraine
32,a,Abdominal Pain
33,a,Abercrombie Syndrome
34,a,Aberrant subclavian artery
35,a,Abetalipoproteinemia
36,a,Ablepharon macrostomia syndrome
37,a,Abnormal Uterine Bleeding
38,a,Abscess
39,a,Abscess Bartholin
40,a,Absence Seizure
41,a,Absent T lymphocytes
42,a,Abt-Letterer-Siwe Disease
43,a,Acanthamoeba Infection
44,a,Acanthocheilonemiasis
45,a,Acanthocheilonemiasis Perstans
46,a,Acanthocytosis
47,a,Acanthocytosis chorea
48,a,Acanthocytosis-Neurologic Disorder
49,a,Acanthosis nigricans
50,a,Acanthotic Nevus
51,a,Accessory pancreas
52,a,Accutane Embryopathy
53,a,Achalasia
54,a,Achard-Thiers syndrome
55,a,Acheiropodia
56,a,Achilles Tendinitis
57,a,Achilles Tendon Rupture
58,a,Acholuric Jaundice
59,a,Achondrogenesis
60,a,Achondroplasia
61,a,Achondroplastic Dwarfism
62,a,Achromatopsia
63,a,Acid Beta-Glucosidase Deficiency
64,a,Acid Ceramidase Deficiency
65,a,Acid maltase deficiency
66,a,Acid Reflux
67,a,"Acidemia, isovaleric"
68,a,"Acidemia, propionic"
69,a,Acinetobacter Infection
70,a,ACL Injury
71,a,Acne
72,a,Acne Cystic
73,a,Acne Excori?e
74,a,Acne Keloidalis Nuchae
75,a,Acne rosacea
76,a,Acoustic Neuroma
77,a,Acoustic Neuroma
78,a,Acquired Ichthyosis
79,a,Acquired Immune Deficiency Syndrome
80,a,Acquired Syphilis
81,a,Acrocephaly
82,a,Acrochordon
83,a,Acrocyanosis
84,a,Acrodermatitis Enteropathica
85,a,Acrodysostosis
86,a,Acrodysplasia
87,a,Acrodystrophic Neuropathy
88,a,"Acrofacial dysostosis, Nager type"
89,a,Acromegaly
90,a,Acromicric Dysplasia
91,a,Acromicric Skeletal Dysplasia
92,a,Acrophobia
93,a,ACTH Deficiency
94,a,Actinic Cheilitis
95,a,Actinic Keratosis
96,a,Actinomycetales Infection
97,a,Actinomycosis
98,a,Activated Protein C Resistance
99,a,Acutane Embryopathy
100,a,Acute articular rheumatism
101,a,Acute Beryllium Disease
102,a,Acute Bronchitis
103,a,Acute Disseminated Histiocytosis-X
104,a,Acute erythroblastic leukemia
105,a,Acute febrile neutrophilic dermatosis
106,a,Acute gouty arthritis
107,a,Acute Idiopathic Polyneuritis
108,a,Acute intermittent porphyria
109,a,Acute Kidney Failure
110,a,Acute Liver Failure
111,a,Acute lymphoblastic leukemia
112,a,Acute monoblastic leukemia
113,a,Acute mountain sickness
114,a,Acute myelocytic leukemia
115,a,Acute necrotizing ulcerative gingivitis
116,a,Acute pancreatitis
117,a,Acute Pancreatitis
118,a,Acute posterior multifocal placoid pigment epitheliopathy
119,a,Acute promyelocytic leukemia
120,a,Acute renal failure
121,a,Acute Respiratory Distress Syndrome
122,a,Acute Sinusitis
123,a,Acute Toxic Epidermolysis
124,a,Acute Tubular Necrosis
125,a,ACY2 Deficiency
126,a,"Acyl-CoA dehydrogenase, medium chain, deficiency of"
127,a,"Acyl-CoA dehydrogenase, very long chain, deficiency of"
128,a,"Acyl-CoA dehydrogenase, very short chain, deficiency of"
129,a,Ad14
130,a,Addiction
131,a,Addison Anemia
132,a,Addison's Disease
133,a,Adducted thumb syndrome recessive form
134,a,"Adenitis, Mesenteric"
135,a,Adenocarcinoma of the lung
136,a,Adenoid cystic carcinoma
137,a,Adenoma
138,a,Adenoma of the adrenal gland
139,a,Adenomyosis
140,a,Adenosine Deaminase Deficiency
141,a,Adenosine monophosphate deaminase
142,a,Adenovirus Infection
143,a,Adenylosuccinase Deficiency
144,a,Adenylosuccinate lyase deficiency
145,a,Adhesion
146,a,Adhesive Capsulitis
147,a,Adie syndrome
148,a,Adiposis dolorosa
149,a,Adrenal cancer
150,a,Adrenal hyperplasia
151,a,"Adrenal Hypoplasia Congenital, X-linked (Adrenal Hypoplasia)"
152,a,Adrenal Incidentaloma
153,a,Adrenal Insufficiency
154,a,Adrenocortical Carcinoma
155,a,Adrenogenital Syndrome
156,a,Adrenoleukodystrophy
157,a,Adrenomyodystrophy
158,a,Adult Onset Still's Disease
159,a,Adult Schizophrenia
160,a,Agammaglobulinemia
161,a,Aganglionosis
162,a,Agenesis of the Corpus Callosum
163,a,Ageusia
164,a,Aggressive fibromatosis
165,a,Aging
166,a,Agnogenic Myeloid Metaplasia
167,a,Agnosia
